map,scen_file,num_agents,timeout_s,runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
empty-32-32,empty-16-16-random-10-x2,10,300,0.000272,0,1,288,1312,268,268,268,268,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.000957,WDG+GR+GC+T+BP with AStar,benchmarks/empty-32-32/scenarios_x2/empty-16-16-random-10-x2.scen:
empty-32-32,empty-16-16-random-11-x2,10,300,0.000156,0,1,140,614,130,130,130,130,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.000948,WDG+GR+GC+T+BP with AStar,benchmarks/empty-32-32/scenarios_x2/empty-16-16-random-11-x2.scen:
empty-32-32,empty-16-16-random-12-x2,10,300,0.000351,1,3,241,1080,204,204,204,204,0,0,0,0,1,0,0,1,0,6e-05,3e-06,6e-06,0,3e-06,0,1.7e-05,1e-06,1e-05,3.2e-05,3.5e-05,0.000947,WDG+GR+GC+T+BP with AStar,benchmarks/empty-32-32/scenarios_x2/empty-16-16-random-12-x2.scen:
empty-32-32,empty-16-16-random-13-x2,10,300,0.00096,2,3,394,1800,258,258,258,258,1,0,0,0,1,0,0,2,0,0.000372,3e-06,7e-06,1e-05,4e-06,0,0.000185,2e-06,2.5e-05,0.000106,0.000111,0.000944,WDG+GR+GC+T+BP with AStar,benchmarks/empty-32-32/scenarios_x2/empty-16-16-random-13-x2.scen:
empty-32-32,empty-16-16-random-14-x2,10,300,0.000421,1,3,305,1333,224,224,224,224,0,0,0,0,1,0,0,1,0,7.9e-05,2e-06,5e-06,0,2e-06,0,3.1e-05,1e-06,1.1e-05,3.5e-05,3.8e-05,0.000939,WDG+GR+GC+T+BP with AStar,benchmarks/empty-32-32/scenarios_x2/empty-16-16-random-14-x2.scen:
empty-32-32,empty-16-16-random-15-x2,10,300,0.000244,0,1,231,1000,212,212,212,212,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.000946,WDG+GR+GC+T+BP with AStar,benchmarks/empty-32-32/scenarios_x2/empty-16-16-random-15-x2.scen:
empty-32-32,empty-16-16-random-16-x2,10,300,0.000594,1,3,305,1263,167,167,166,167,0,0,1,0,0,0,0,2,0,0.0002,2e-06,6e-06,3.3e-05,3e-06,0,3.5e-05,1e-06,1.9e-05,8.6e-05,9e-05,0.000982,WDG+GR+GC+T+BP with AStar,benchmarks/empty-32-32/scenarios_x2/empty-16-16-random-16-x2.scen:
empty-32-32,empty-16-16-random-17-x2,10,300,0.000617,1,3,384,1569,203,203,202,203,0,0,0,0,1,0,0,1,0,0.000212,3e-06,5e-06,0,3e-06,0,3.8e-05,0,2.1e-05,7.3e-05,7.6e-05,0.00094,WDG+GR+GC+T+BP with AStar,benchmarks/empty-32-32/scenarios_x2/empty-16-16-random-17-x2.scen:
empty-32-32,empty-16-16-random-18-x2,10,300,0.000253,0,1,276,1239,266,266,266,266,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.000931,WDG+GR+GC+T+BP with AStar,benchmarks/empty-32-32/scenarios_x2/empty-16-16-random-18-x2.scen:
empty-32-32,empty-16-16-random-19-x2,10,300,0.000232,0,1,254,1150,244,244,244,244,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.001013,WDG+GR+GC+T+BP with AStar,benchmarks/empty-32-32/scenarios_x2/empty-16-16-random-19-x2.scen:
empty-32-32,empty-16-16-random-1-x2,10,300,0.000205,0,1,221,975,204,204,204,204,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.000935,WDG+GR+GC+T+BP with AStar,benchmarks/empty-32-32/scenarios_x2/empty-16-16-random-1-x2.scen:
empty-32-32,empty-16-16-random-20-x2,10,300,0.000545,1,3,334,1486,238,238,238,238,0,0,0,0,1,0,0,1,0,0.000161,2e-06,4e-06,0,2e-06,0,6.4e-05,1e-06,2.1e-05,7.5e-05,7.8e-05,0.000934,WDG+GR+GC+T+BP with AStar,benchmarks/empty-32-32/scenarios_x2/empty-16-16-random-20-x2.scen:
empty-32-32,empty-16-16-random-21-x2,10,300,0.000741,1,3,341,1554,228,228,228,228,0,0,0,0,1,0,0,1,0,0.000267,1e-06,6e-06,0,1e-06,0,0.000148,0,3.6e-05,9.1e-05,9.4e-05,0.00093,WDG+GR+GC+T+BP with AStar,benchmarks/empty-32-32/scenarios_x2/empty-16-16-random-21-x2.scen:
empty-32-32,empty-16-16-random-22-x2,10,300,0.00023,0,1,241,1096,230,230,230,230,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.000928,WDG+GR+GC+T+BP with AStar,benchmarks/empty-32-32/scenarios_x2/empty-16-16-random-22-x2.scen:
